Step,Env_step,MAP_NAME: smacv2_20_units - win_rate,MAP_NAME: smacv2_20_units - win_rate__MIN,MAP_NAME: smacv2_20_units - win_rate__MAX,MAP_NAME: smacv2_10_units - win_rate,MAP_NAME: smacv2_10_units - win_rate__MIN,MAP_NAME: smacv2_10_units - win_rate__MAX,MAP_NAME: smacv2_5_units - win_rate,MAP_NAME: smacv2_5_units - win_rate__MIN,MAP_NAME: smacv2_5_units - win_rate__MAX,MAP_NAME: 27m_vs_30m - win_rate,MAP_NAME: 27m_vs_30m - win_rate__MIN,MAP_NAME: 27m_vs_30m - win_rate__MAX,MAP_NAME: 10m_vs_11m - win_rate,MAP_NAME: 10m_vs_11m - win_rate__MIN,MAP_NAME: 10m_vs_11m - win_rate__MAX,MAP_NAME: 6h_vs_8z - win_rate,MAP_NAME: 6h_vs_8z - win_rate__MIN,MAP_NAME: 6h_vs_8z - win_rate__MAX,MAP_NAME: 5m_vs_6m - win_rate,MAP_NAME: 5m_vs_6m - win_rate__MIN,MAP_NAME: 5m_vs_6m - win_rate__MAX,MAP_NAME: 3s5z - win_rate,MAP_NAME: 3s5z - win_rate__MIN,MAP_NAME: 3s5z - win_rate__MAX,MAP_NAME: 3s5z_vs_3s6z - win_rate,MAP_NAME: 3s5z_vs_3s6z - win_rate__MIN,MAP_NAME: 3s5z_vs_3s6z - win_rate__MAX,MAP_NAME: 3s_vs_5z - win_rate,MAP_NAME: 3s_vs_5z - win_rate__MIN,MAP_NAME: 3s_vs_5z - win_rate__MAX,MAP_NAME: 2s3z - win_rate,MAP_NAME: 2s3z - win_rate__MIN,MAP_NAME: 2s3z - win_rate__MAX
62,126976,0.714285746216774,0,3.57142873108387,5.28733838349581,0,11.7647059261799,6.97109747678041,1.92307699471712,9.61538478732109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,129024,0.307692307978868,0,1.53846153989434,3.69379945099354,0,6.38297870755196,8.92856299877167,5.45454546809197,15.5555561184883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,131072,0.651483051478863,0,1.69491525739431,3.83573204278946,0,7.54716992378235,9.64486449956894,6.66666701436043,13.9534890651703,0,0,0,0,0,0,0,0,0,0.139860138297081,0,0.699300691485405,0,0,0,0,0,0,0,0,0,0,0,0
65,133120,0.30303031206131,0,1.51515156030655,3.92223916947842,0,10.6382980942726,11.0498099029064,6.77966102957726,16.326530277729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,135168,0.673457831144333,0,1.75438597798347,5.62734503298998,0,15.5555561184883,6.71615682542324,3.6363635212183,10.6382980942726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,137216,1.00661486387253,0,3.27868834137917,5.85540764033794,2.12765950709581,10.416666418314,6.3866388052702,3.84615398943424,9.75609719753265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,139264,1.01223580539227,0,3.44827584922314,3.18167131394148,1.88679248094559,4.34782616794109,8.68388094007969,5.76923079788685,12.7659574151039,0,0,0,0,0,0,0,0,0,0.419580414891243,0,2.09790207445621,0,0,0,0,0,0,0,0,0,0,0,0
69,141312,0.338983051478863,0,1.69491525739431,3.72327696532011,0,6.52173906564713,7.70668469369412,3.22580635547638,17.8571432828903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,143360,0.357142873108387,0,1.78571436554194,4.74151939153671,0,10.2040819823742,10.9728534147143,2.12765950709581,26.4150947332382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,145408,1.57748263329268,0,3.33333350718021,4.11688797175884,2.0833333954215,6.52173906564713,11.4997965469956,2.22222227603197,20.0000002980232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,147456,0.9543676674366,0,1.69491525739431,2.00302343815565,0,6.1224490404129,8.63449212163687,2.12765950709581,18.5185179114342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,149504,0.667408220469952,0,1.72413792461157,5.6083108484745,0,11.9047619402409,10.4233488440514,7.2727270424366,14.0000000596046,0,0,0,0,0,0,0,0,0,0.158730167895556,0,0.793650839477778,0,0,0,0,0,0,0,0,0,0,0,0
74,151552,0.956521779298782,0,3.33333350718021,3.76751150935888,0,7.50000029802322,8.40958572924137,5.17241396009922,14.0000000596046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,153600,0.979166701436043,0,1.66666675359011,2.73304332047701,0,4.25531901419163,8.6117409914732,4.34782616794109,15.0943398475647,0,0,0,0,0,0,0,0,0,0.141843967139721,0,0.709219835698605,0,0,0,0,0,0,0,0,0,0,0,0
76,155648,0.662287920713425,0,1.72413792461157,4.94454398751259,0,13.9534890651703,9.40473288297653,6.66666701436043,12.9629626870155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,157696,1.27626052126288,0,3.125,2.05727312713861,0,5.99999986588955,10.3968295454979,7.84313753247261,13.2075473666191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
