Env_step,MAP_NAME: smacv2_20_units - eval_m/.win_rate,MAP_NAME: smacv2_20_units - eval_m/.win_rate__MIN,MAP_NAME: smacv2_20_units - eval_m/.win_rate__MAX,MAP_NAME: smacv2_10_units - eval_m/.win_rate,MAP_NAME: smacv2_10_units - eval_m/.win_rate__MIN,MAP_NAME: smacv2_10_units - eval_m/.win_rate__MAX,MAP_NAME: smacv2_5_units - eval_m/.win_rate,MAP_NAME: smacv2_5_units - eval_m/.win_rate__MIN,MAP_NAME: smacv2_5_units - eval_m/.win_rate__MAX,MAP_NAME: 27m_vs_30m - eval_m/.win_rate,MAP_NAME: 27m_vs_30m - eval_m/.win_rate__MIN,MAP_NAME: 27m_vs_30m - eval_m/.win_rate__MAX,MAP_NAME: 10m_vs_11m - eval_m/.win_rate,MAP_NAME: 10m_vs_11m - eval_m/.win_rate__MIN,MAP_NAME: 10m_vs_11m - eval_m/.win_rate__MAX,MAP_NAME: 6h_vs_8z - eval_m/.win_rate,MAP_NAME: 6h_vs_8z - eval_m/.win_rate__MIN,MAP_NAME: 6h_vs_8z - eval_m/.win_rate__MAX,MAP_NAME: 5m_vs_6m - eval_m/.win_rate,MAP_NAME: 5m_vs_6m - eval_m/.win_rate__MIN,MAP_NAME: 5m_vs_6m - eval_m/.win_rate__MAX,MAP_NAME: 3s5z - eval_m/.win_rate,MAP_NAME: 3s5z - eval_m/.win_rate__MIN,MAP_NAME: 3s5z - eval_m/.win_rate__MAX,MAP_NAME: 3s5z_vs_3s6z - eval_m/.win_rate,MAP_NAME: 3s5z_vs_3s6z - eval_m/.win_rate__MIN,MAP_NAME: 3s5z_vs_3s6z - eval_m/.win_rate__MAX,MAP_NAME: 3s_vs_5z - eval_m/.win_rate,MAP_NAME: 3s_vs_5z - eval_m/.win_rate__MIN,MAP_NAME: 3s_vs_5z - eval_m/.win_rate__MAX,MAP_NAME: 2s3z - eval_m/.win_rate,MAP_NAME: 2s3z - eval_m/.win_rate__MIN,MAP_NAME: 2s3z - eval_m/.win_rate__MAX
2949120,2.5,0,9.375,11.875,6.25,15.625,44.375,28.125,59.375,67.96875,40.625,93.75,27.5,18.75,34.375,56.25,18.75,93.75,1.25,0,3.125,35.625,12.5,59.375,0,0,0,0,0,0,82.5,75,90.625
2998272,3.125,0,9.375,10.625,3.125,18.75,43.75,34.375,53.125,71.09375,46.875,90.625,21.875,3.125,40.625,56.875,9.375,100,0,0,0,30,9.375,43.75,0,0,0,0,0,0,80,71.875,90.625
3047424,1.875,0,9.375,16.875,9.375,31.25,43.125,34.375,46.875,72.65625,56.25,90.625,21.25,0,31.25,56.875,12.5,100,0.625,0,3.125,38.125,21.875,59.375,0,0,0,0,0,0,73.125,65.625,78.125
3096576,2.5,0,9.375,8.125,3.125,15.625,34.375,21.875,56.25,79.6875,53.125,100,25,0,46.875,60.625,12.5,96.875,0.625,0,3.125,45.625,15.625,62.5,0,0,0,0,0,0,78.75,68.75,87.5
3145728,2.5,0,3.125,13.125,9.375,21.875,38.125,18.75,53.125,68.75,46.875,78.125,26.875,12.5,40.625,62.5,21.875,93.75,1.875,0,3.125,43.75,12.5,59.375,0,0,0,0,0,0,83.75,75,90.625
3194880,2.5,0,6.25,8.125,3.125,15.625,42.5,34.375,53.125,82.03125,56.25,100,30.625,18.75,43.75,63.75,21.875,93.75,0,0,0,39.375,18.75,50,0,0,0,0,0,0,85.625,78.125,96.875
3244032,5.625,3.125,15.625,10,3.125,15.625,37.5,28.125,53.125,83.59375,56.25,100,29.375,18.75,59.375,60,15.625,93.75,1.875,0,6.25,53.75,28.125,71.875,0,0,0,0,0,0,81.875,78.125,93.75
3293184,3.75,0,6.25,13.125,9.375,18.75,42.5,31.25,59.375,77.34375,34.375,93.75,31.875,6.25,46.875,61.875,15.625,96.875,0.625,0,3.125,46.875,18.75,62.5,0,0,0,0,0,0,82.5,68.75,96.875
3342336,4.375,0,9.375,16.875,9.375,25,47.5,43.75,53.125,83.59375,56.25,100,28.75,12.5,40.625,60,9.375,90.625,0,0,0,57.5,40.625,71.875,0,0,0,0,0,0,83.75,75,93.75
3391488,3.125,0,6.25,10.625,0,15.625,41.25,34.375,46.875,86.71875,81.25,93.75,30.625,18.75,40.625,65,21.875,93.75,0,0,0,49.375,28.125,75,0,0,0,0,0,0,85,68.75,96.875
